Location ID,Place ID,Governorate,District,Location Name,Arabic Name,Latitude,Longitude,Families,Individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salahal Din,Sulaymaniyah,Thi Qar,Wassit,Camp,Hostfamilies,Hotel Motel,Informalsettlements,Other,Religiousbuilding,Rented pre Apr 2019,Rented Habitable,Rented Uninhabitable,Schoolbuilding,Unfinishedbuilding,Unknownsheltertype,Pre June14 Period of displacement,June July14 Period of displacement,August14 Period of displacement,Post September 14 Period of displacement,Post April15 Period of displacement,Post March 16 Period of displacement,Post 17 October 16 Period of displacement,July 17 Period of displacement
1101001,7861,Dahuk,Amedi,Amedi,??????,37.0923890175,43.4877579895,14,84,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,3,11,0,0,0,0,0
1101002,8171,Dahuk,Amedi,Aradin,?????,37.1086106680,43.3195580462,7,42,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0
1101004,8189,Dahuk,Amedi,Bamarne,??????,37.1205771897,43.2694388383,15,90,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,2,0,0,0,8,0,0,2,0,0,1,14,0,0,0,0,0
1101005,7770,Dahuk,Amedi,Chamanke,??????,36.9379560964,43.4125721812,82,492,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,8,0,0,0,0,0,54,0,0,20,0,0,40,42,0,0,0,0,0
1101006,24920,Dahuk,Amedi,Dawadia Camp,???? ??????,37.0936533072,43.2278982352,634,3804,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,2,632,0,0,0,0,0
1101007,8229,Dahuk,Amedi,Deraluk,??????,37.0550435982,43.6520493186,22,132,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,10,11,0,0,0,0,0
1101008,7860,Dahuk,Amedi,Inishke,??????,37.1086991116,43.3616444364,27,162,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,0,0,27,0,0,0,0,0
1101009,8443,Dahuk,Amedi,Kani Mase,???? ????,37.2280364508,43.4386227828,12,72,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
1101010,23903,Dahuk,Amedi,Kaniya Mala,????? ????,37.1009044216,43.4948611687,24,144,2,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,2,7,15,0,0,0,0,0
1101011,7862,Dahuk,Amedi,Qadish Collective,???,37.1005320168,43.3857299169,17,102,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,12,5,0,0,0,0,0
1101012,7835,Dahuk,Amedi,Sarsink,?????,37.0393145523,43.3437816916,71,426,0,0,0,0,0,0,0,0,0,0,0,0,59,0,12,0,0,0,0,14,0,0,0,0,0,52,0,0,5,0,0,23,48,0,0,0,0,0
1101013,7833,Dahuk,Amedi,Sheladize Collective,???????,37.0284608985,43.7888374740,19,114,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,15,4,0,0,0,0,0
1101014,7867,Dahuk,Amedi,Sikreen,?????,37.0390828925,43.2793782839,7,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,1,6,0,0,0,0,0
1101015,26044,Dahuk,Amedi,Sowaratoka,????????,37.0086424248,43.2267616438,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1101019,7768,Dahuk,Amedi,Mizi Village,???? ????,36.9453094847,43.3919341569,56,336,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
1101020,27120,Dahuk,Amedi,Nahla Area,????? ????,36.8637097200,43.6931772100,45,270,0,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,0,0,0
1101021,22613,Dahuk,Amedi,Azadi,?????,37.0468127113,43.3618780564,9,54,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,1,0,0,0,0,0
1101022,29567,Dahuk,Amedi,Kani,????,37.0838083045,43.5248701664,6,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
1101023,22546,Dahuk,Amedi,Kanika,??????,37.0667009178,43.2638110327,8,48,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0
1101024,7788,Dahuk,Amedi,Hamza,????,37.1181824294,43.1659550960,5,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
1101025,8224,Dahuk,Amedi,Dawodia Village,???? ??????,37.0892727472,43.2205836849,4,24,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
1101026,7785,Dahuk,Amedi,Ghlbish,?????,37.1022617076,43.2037138542,4,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
1101027,33583,Dahuk,Amedi,Dhe,???,37.1343966829,43.1787530486,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1101028,8419,Dahuk,Amedi,Shekh Mama,??? ???,37.0805007304,43.2602013604,2,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
1101029,8335,Dahuk,Amedi,Spindare,????????,36.9708461154,43.3168635067,16,96,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0
1101030,8666,Dahuk,Amedi,Barchi,????,37.0743061611,43.5816955119,6,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1101031,33584,Dahuk,Amedi,Goharze,??????,37.0725798348,43.6048442921,3,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1101032,8214,Dahuk,Amedi,Chalke,????,37.2314568488,43.1687031865,5,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
1101033,8525,Dahuk,Amedi,Merstak,??????,37.0892285581,43.5134378219,10,60,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,3,7,0,0,0,0,0
1101034,8204,Dahuk,Amedi,Bebade,??????,37.0994976832,43.4532123645,7,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
1101035,8317,Dahuk,Amedi,Ska,???,37.0987907238,43.4771491891,5,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0
1101036,8615,Dahuk,Amedi,Sayidava,??????,37.0398945123,43.2496410299,16,96,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
1101037,8418,Dahuk,Amedi,Blijanke,????????,37.0905441273,43.4414385353,12,72,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0
